iter	Passed	Remaining
702	1027	433
703	1028	432
704	1029	430
705	1031	429
706	1032	427
707	1033	426
708	1034	424
709	1034	422
710	1036	421
711	1037	419
712	1038	417
713	1039	416
714	1042	415
715	1047	415
716	1048	413
717	1049	412
718	1050	410
719	1051	408
720	1052	407
721	1055	406
722	1056	404
723	1058	403
724	1059	402
725	1061	400
726	1062	399
727	1063	397
728	1064	395
729	1065	394
730	1066	392
731	1067	390
732	1068	389
733	1071	388
734	1073	386
735	1074	385
736	1075	383
737	1076	382
738	1078	380
739	1078	379
740	1079	377
741	1080	375
742	1081	374
743	1083	372
744	1084	371
745	1086	369
746	1088	368
747	1089	367
748	1090	365
749	1092	364
750	1093	362
751	1094	360
752	1095	359
753	1096	357
754	1098	356
755	1100	355
756	1103	354
757	1105	353
758	1107	351
759	1108	349
760	1109	348
761	1110	346
762	1111	345
763	1113	343
764	1114	342
765	1116	341
766	1118	339
767	1120	338
768	1122	337
769	1123	335
770	1125	334
771	1126	332
772	1127	331
773	1128	329
774	1135	329
775	1137	328
776	1138	326
777	1139	325
778	1140	323
779	1142	322
780	1143	320
781	1145	319
782	1147	318
783	1149	316
784	1151	315
785	1152	313
786	1153	312
787	1154	310
788	1155	309
789	1157	307
790	1158	305
791	1159	304
792	1163	303
793	1165	302
794	1167	301
795	1168	299
796	1169	297
797	1170	296
798	1171	294
799	1172	293
800	1174	291
801	1177	290
802	1179	289
803	1180	287
804	1181	286
805	1182	284
806	1183	283
807	1184	281
808	1185	279
809	1186	278
810	1187	276
811	1191	275
812	1192	274
813	1194	273
814	1196	271
815	1196	269
816	1197	268
817	1198	266
818	1199	265
819	1200	263
820	1201	262
821	1203	260
822	1204	259
823	1206	257
824	1208	256
825	1209	254
826	1210	253
827	1211	251
828	1212	250
829	1213	248
830	1214	247
831	1215	245
832	1216	243
833	1217	242
834	1219	240
835	1222	239
836	1223	238
837	1225	236
838	1226	235
839	1226	233
840	1227	232
841	1228	230
842	1229	228
843	1230	227
844	1231	225
845	1233	224
846	1235	223
847	1237	221
848	1238	220
849	1239	218
850	1240	217
851	1241	215
852	1242	214
853	1243	212
854	1243	210
855	1244	209
856	1245	207
857	1246	206
858	1247	204
859	1250	203
860	1252	202
861	1253	200
862	1254	199
863	1255	197
864	1256	196
865	1257	194
866	1257	192
867	1258	191
868	1259	189
869	1260	188
870	1261	186
871	1262	185
872	1264	183
873	1265	182
874	1267	181
875	1268	179
876	1269	178
877	1270	176
878	1270	174
879	1271	173
880	1272	171
881	1273	170
882	1274	168
883	1275	167
884	1276	165
885	1277	164
886	1279	162
887	1280	161
888	1281	160
889	1282	158
890	1283	157
891	1284	155
892	1285	154
893	1286	152
894	1287	150
895	1287	149
896	1288	148
897	1290	146
898	1292	145
899	1294	143
900	1296	142
901	1297	140
902	1298	139
903	1299	137
904	1299	136
905	1300	134
906	1301	133
907	1302	131
908	1303	130
909	1304	128
910	1304	127
911	1305	125
912	1307	124
913	1310	123
914	1311	121
915	1312	120
916	1312	118
917	1313	117
918	1314	115
919	1315	114
920	1316	112
921	1317	111
922	1317	109
923	1318	108
924	1319	106
925	1319	105
926	1321	104
927	1323	102
928	1324	101
929	1325	99
930	1326	98
931	1327	96
932	1328	95
933	1329	93
934	1330	92
935	1331	91
936	1332	89
937	1332	88
938	1333	86
939	1334	85
940	1337	83
941	1339	82
942	1341	81
943	1341	79
944	1342	78
945	1343	76
946	1344	75
947	1345	73
948	1345	72
949	1346	70
950	1347	69
951	1348	67
952	1348	66
953	1349	65
954	1350	63
955	1351	62
956	1353	60
957	1354	59
958	1355	57
959	1356	56
960	1357	55
961	1358	53
962	1359	52
963	1359	50
964	1360	49
965	1361	47
966	1362	46
967	1362	45
968	1363	43
969	1364	42
970	1365	40
971	1366	39
972	1368	37
973	1370	36
974	1371	35
975	1372	33
976	1373	32
977	1374	30
978	1375	29
979	1376	28
980	1377	26
981	1378	25
982	1380	23
983	1381	22
984	1383	21
985	1384	19
986	1385	18
987	1386	16
988	1388	15
989	1389	14
990	1390	12
991	1391	11
992	1392	9
993	1393	8
994	1396	7
995	1398	5
996	1400	4
997	1402	2
998	1403	1
999	1405	0
